"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 00:42:40 GMT 2024","Thu May 02 00:42:40 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","31","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Thu May 02 00:44:14 GMT 2024","Thu May 02 00:44:16 GMT 2024","1658","e2e","tests/e2e/user.e2e.test.js","Create user tests","","","email already exists",""
"passed","Thu May 02 00:42:36 GMT 2024","Thu May 02 00:42:36 GMT 2024","77","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Thu May 02 00:42:41 GMT 2024","Thu May 02 00:42:41 GMT 2024","13","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Thu May 02 00:42:38 GMT 2024","Thu May 02 00:42:38 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Thu May 02 00:42:43 GMT 2024","Thu May 02 00:42:43 GMT 2024","52","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","17","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Thu May 02 00:42:39 GMT 2024","Thu May 02 00:42:40 GMT 2024","73","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Thu May 02 00:42:30 GMT 2024","Thu May 02 00:42:30 GMT 2024","31","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Thu May 02 00:44:09 GMT 2024","Thu May 02 00:44:14 GMT 2024","4635","e2e","tests/e2e/user.e2e.test.js","Create user tests","","","create user",""
"passed","Thu May 02 00:43:36 GMT 2024","Thu May 02 00:43:38 GMT 2024","1496","e2e","tests/e2e/user.e2e.test.js","Create user tests","","","check required fields",""
"passed","Thu May 02 00:42:54 GMT 2024","Thu May 02 00:42:57 GMT 2024","2950","e2e","tests/e2e/product.e2e.test.js","Product tests","","","check required fields",""
"passed","Thu May 02 00:42:38 GMT 2024","Thu May 02 00:42:38 GMT 2024","98","api","tests/api/product.api.test.js","product route","","","delete a product",""
"passed","Thu May 02 00:42:48 GMT 2024","Thu May 02 00:42:50 GMT 2024","1798","e2e","tests/e2e/login.e2e.test.js","Login tests","","","check required fields",""
"passed","Thu May 02 00:42:50 GMT 2024","Thu May 02 00:42:52 GMT 2024","1791","e2e","tests/e2e/login.e2e.test.js","Login tests","","","login with invalid password",""
"passed","Thu May 02 00:42:41 GMT 2024","Thu May 02 00:42:41 GMT 2024","54","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","37","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Thu May 02 00:42:44 GMT 2024","Thu May 02 00:42:44 GMT 2024","75","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Thu May 02 00:42:52 GMT 2024","Thu May 02 00:42:54 GMT 2024","2200","e2e","tests/e2e/login.e2e.test.js","Login tests","","","login with success",""
"passed","Thu May 02 00:42:46 GMT 2024","Thu May 02 00:42:48 GMT 2024","2934","e2e","tests/e2e/login.e2e.test.js","Login tests","","","check redirect button to create user url",""
"passed","Thu May 02 00:43:32 GMT 2024","Thu May 02 00:43:36 GMT 2024","4221","e2e","tests/e2e/product.e2e.test.js","Product tests","","","delete product",""
"passed","Thu May 02 00:42:57 GMT 2024","Thu May 02 00:43:00 GMT 2024","2288","e2e","tests/e2e/product.e2e.test.js","Product tests","","","create product",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","12","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","87","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Thu May 02 00:42:35 GMT 2024","Thu May 02 00:42:35 GMT 2024","96","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Thu May 02 00:42:33 GMT 2024","Thu May 02 00:42:33 GMT 2024","71","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Thu May 02 00:42:32 GMT 2024","Thu May 02 00:42:32 GMT 2024","32","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Thu May 02 00:42:30 GMT 2024","Thu May 02 00:42:30 GMT 2024","110","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
